,chords_numeric
269,"[6, 1, 6, 6, 4, 2, 5, 1, 2, 1, 6, 6, 4, 2, 5, 1]"
501,"[6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4]"
502,"[6, 5, 1, 4, 6, 5, 4, 1, 6, 5, 1, 4, 6, 5, 4, 1]"
280,"[1, 5, 6, 4, 1, 5, 6, 4]"
320,"[1, 5, 6, 4]"
541,"[1, 5, 4, 1, 5, 4, 1, 5, 4]"
247,"[6, 1, 5, 2, 6, 1, 5, 4, 1]"
340,"[4, 6, 2, 3, 4, 6, 2, 2, 4, 6, 2, 4, 5]"
73,"[1, 5, 6, 4, 1, 5, 1, 1, 5, 6, 4, 1, 5, 1]"
439,"[1, 5, 6, 6, 1, 5, 6, 6]"
68,"[1, 1, 6, 4, 1, 1, 6, 4]"
157,"[4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 1, 6, 4, 5, 3, 6]"
36,"[1, 5, 6, 4]"
563,"[6, 4, 1, 5, 6, 4, 1, 5]"
124,"[6, 1, 5, 4, 6, 1, 5, 2, 6, 1, 5, 4, 2, 1, 4, 2, 1, 4]"
469,"[1, 1, 4, 1, 1, 4]"
182,"[6, 4, 5, 4, 4, 1, 2, 4]"
468,"[1, 1, 4, 4, 1, 1, 4, 4, 6, 1, 4, 4, 6, 1, 4, 4]"
27,"[6, 4, 5, 3, 6, 4, 5, 6, 4, 5, 3, 6, 4, 5]"
310,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 4, 5, 1, 4, 6, 5, 4, 1]"
156,"[6, 4, 5, 1, 6, 4, 5, 1, 6, 6, 4, 5, 1, 6, 4, 5, 1, 6]"
211,"[1, 1, 4, 1, 4]"
287,"[4, 5, 1, 1, 6, 6, 4, 5, 1, 1, 6, 6, 4, 5, 1]"
362,"[1, 4, 6, 4, 1, 1, 6, 4, 1, 4, 6, 5, 4, 1, 5, 1, 4]"
150,"[1, 5, 6, 6, 4, 4, 1, 5, 4, 1, 2, 1, 1, 5, 6, 6, 4, 4, 1, 5, 4, 1, 2, 1]"
344,"[6, 5, 1, 2, 6, 5, 1, 2, 6, 5, 1, 2, 6, 5, 1, 2]"
166,"[2, 4, 1, 5, 2, 4, 1, 5]"
